ID,X1,X2,X3,X4,X5,Y
1,22,18,27,12,23,0
2,20,19,27,10,24,0
3,22,18,27,12,24,0
4,21,18,26,18,24,0
5,20,20,27,14,22,0
6,20,18,24,14,23,0
7,19,19,21,15,24,0
8,21,19,25,15,22,0
9,20,19,25,15,24,0
10,21,19,26,15,24,0
11,21,18,26,15,22,0
12,20,18,24,14,22,0
13,22,19,24,15,22,0
14,21,19,25,14,22,0
15,20,20,25,15,23,0
16,21,20,25,14,21,0
17,19,19,25,15,24,0
18,22,18,25,16,23,0
19,20,18,22,14,21,0
20,20,19,25,13,24,0
21,20,17,25,15,21,0
22,22,18,22,15,22,0
23,22,18,25,14,22,0
24,19,18,27,17,22,0
25,22,18,22,15,22,0
26,21,18,24,14,24,0
27,22,18,25,14,21,0
28,19,18,27,14,23,0
29,22,19,24,15,24,0
30,20,18,23,13,23,0
31,22,19,25,13,21,0
32,21,17,25,14,22,0
33,22,11,25,16,22,0
34,22,12,24,17,23,0
35,22,11,24,16,24,0
36,22,11,25,15,22,0
37,20,11,25,15,23,0
38,22,11,25,17,23,0
39,22,11,22,15,24,0
40,22,12,25,15,24,0
41,22,11,23,14,24,0
42,21,11,24,15,24,0
43,20,12,26,15,24,0
44,20,12,24,12,21,0
45,22,13,25,13,24,0
46,20,11,25,13,23,0
47,20,12,31,12,24,0
48,20,12,28,13,22,0
49,21,12,27,14,24,0
50,19,14,31,10,22,0
51,19,12,30,12,21,0
52,20,11,28,14,23,0
53,20,12,29,14,24,0
54,21,12,27,14,22,0
55,21,11,27,13,21,0
56,20,11,29,12,23,0
57,21,11,30,12,21,0
58,19,11,30,13,23,0
59,22,12,30,12,23,0
60,19,14,27,13,24,0
61,21,12,28,12,24,0
62,21,14,30,12,21,0
63,21,12,28,13,21,0
64,20,11,29,13,22,0
65,19,12,29,12,21,0
66,21,14,28,12,22,0
67,20,14,28,12,24,0
68,21,14,29,14,21,0
69,20,13,27,13,23,0
70,19,13,28,14,22,0
71,22,11,29,13,21,0
72,19,14,30,12,22,0
73,19,11,29,14,21,0
74,20,11,28,13,24,0
75,19,13,28,13,21,0
76,22,11,28,12,22,0
77,19,11,30,14,22,0
78,21,12,29,13,21,0
79,21,12,28,12,22,0
80,22,13,30,14,22,0
81,19,12,27,13,24,0
82,22,12,28,12,24,0
83,21,12,27,13,24,0
84,20,11,27,14,21,0
85,22,14,27,12,21,0
86,20,11,29,13,22,0
87,22,14,28,13,24,0
88,20,12,29,12,22,0
89,22,14,29,12,22,0
90,21,13,28,14,21,0
91,22,12,27,12,22,0
92,19,12,30,14,24,0
93,22,12,28,13,24,0
94,19,12,27,13,23,0
95,21,14,30,14,22,0
96,20,14,27,13,21,0
97,20,14,28,12,23,0
98,20,13,28,13,21,0
99,21,13,30,14,24,0
100,19,13,28,12,21,0
101,19,18,26,12,22,1
102,22,18,27,10,23,1
103,20,19,25,15,23,1
104,22,20,26,14,24,1
105,19,20,25,15,23,1
106,19,20,27,11,25,1
107,22,20,25,10,23,1
108,20,16,25,12,18,1
109,21,17,26,13,28,1
110,22,16,28,14,22,1
111,20,17,25,10,23,1
112,19,17,28,14,23,1
113,22,17,26,14,21,1
114,19,18,27,12,24,1
115,22,18,25,12,23,1
116,21,17,28,12,24,1
117,20,17,28,13,23,1
118,21,17,25,13,24,1
119,21,18,28,12,25,1
120,19,16,28,13,23,1
121,20,18,27,15,25,1
122,21,17,27,15,23,1
123,20,14,27,15,24,1
124,20,17,26,15,23,1
125,19,15,26,13,24,1
126,20,13,26,14,21,1
127,20,13,25,14,21,1
128,19,13,25,14,21,1
129,19,13,27,15,19,1
130,20,13,25,15,19,1
131,20,12,28,12,20,1
132,19,12,26,10,21,1
133,20,12,25,10,20,1
134,20,14,25,10,20,1
135,21,10,26,13,19,1
136,19,12,25,13,20,1
137,21,12,27,12,19,1
138,20,12,27,15,19,1
139,18,13,26,12,22,1
140,17,13,28,13,22,1
141,16,13,25,11,22,1
142,17,13,27,12,20,1
143,16,14,26,13,22,1
144,16,12,28,14,22,1
145,16,12,26,12,21,1
146,15,12,28,10,25,1
147,18,13,26,12,24,1
148,17,13,28,13,22,1
149,20,14,26,14,22,1
150,18,13,28,10,21,1
151,17,12,28,12,21,1
152,18,12,26,12,20,1
153,21,11,26,14,19,1
154,17,13,28,14,19,1
155,20,14,26,11,19,1
156,20,11,28,11,20,1
157,19,12,27,15,20,1
158,19,11,26,14,20,1
159,19,12,25,11,20,1
160,19,11,27,13,19,1
161,20,13,27,15,20,1
162,19,11,26,12,21,1
163,17,12,26,12,21,1
164,18,12,25,14,21,1
165,18,12,27,14,21,1
166,18,12,25,11,21,1
167,16,14,25,14,21,1
168,16,14,27,14,25,1
169,16,15,26,14,26,1
170,16,15,25,10,26,1
171,18,13,26,15,22,1
172,18,13,25,12,22,1
173,18,13,27,12,25,1
174,18,13,26,10,25,1
175,19,15,26,11,25,1
176,19,15,28,12,25,1
177,18,14,25,15,25,1
178,18,14,27,11,25,1
179,18,14,26,13,27,1
180,18,14,27,11,27,1
181,18,15,28,15,25,1
182,18,15,27,11,25,1
183,18,14,28,13,25,1
184,18,14,28,12,25,1
185,17,14,28,12,25,1
186,17,14,27,15,25,1
187,17,14,25,14,25,1
188,18,14,25,12,25,1
189,18,14,27,14,25,1
190,18,14,28,13,25,1
191,18,14,28,13,25,1
192,18,14,28,11,26,1
193,18,14,25,13,26,1
194,18,13,25,12,25,1
195,18,13,25,15,25,1
196,19,13,25,11,25,1
197,19,13,25,10,25,1
198,19,14,27,13,24,1
199,19,14,26,11,24,1
200,19,12,25,15,24,1
201,19,12,28,21,23,2
202,19,13,28,21,22,2
203,19,13,27,18,23,2
204,20,12,29,18,25,2
205,20,13,30,22,26,2
206,19,13,31,16,24,2
207,24,15,31,13,22,2
208,22,15,30,13,21,2
209,23,16,29,14,22,2
210,23,15,31,15,20,2
211,20,14,30,13,21,2
212,22,15,27,14,23,2
213,22,14,32,13,24,2
214,28,15,29,16,21,2
215,21,17,28,17,22,2
216,21,14,31,14,23,2
217,20,14,29,16,24,2
218,19,14,30,14,23,2
219,19,14,28,14,23,2
220,22,14,29,13,23,2
221,21,15,26,13,22,2
222,20,14,32,14,23,2
223,21,15,28,13,23,2
224,22,14,30,15,22,2
225,21,14,32,14,23,2
226,20,16,32,15,23,2
227,21,15,32,15,24,2
228,21,14,30,15,22,2
229,23,14,28,16,22,2
230,25,15,27,16,23,2
231,23,14,30,16,23,2
232,22,14,30,15,23,2
233,22,13,27,16,23,2
234,22,14,28,15,22,2
235,22,14,29,15,23,2
236,22,14,32,16,23,2
237,22,14,32,15,23,2
238,22,16,31,17,22,2
239,20,17,26,17,22,2
240,21,15,32,17,24,2
241,20,15,28,17,24,2
242,22,14,26,17,23,2
243,21,14,27,20,23,2
244,20,14,27,20,23,2
245,23,13,26,18,24,2
246,16,13,29,14,24,2
247,17,12,31,15,27,2
248,19,12,28,23,26,2
249,22,14,30,23,28,2
250,22,11,30,21,24,2
251,18,12,28,21,22,2
252,17,12,29,20,21,2
253,18,12,32,21,21,2
254,19,15,31,17,20,2
255,19,14,30,17,20,2
256,19,13,27,14,22,2
257,15,13,30,17,22,2
258,17,13,32,17,22,2
259,16,13,26,16,21,2
260,18,13,26,16,21,2
261,18,13,31,16,22,2
262,17,14,32,14,23,2
263,14,23,30,09,17,2
264,19,23,30,12,17,2
265,19,20,30,12,19,2
266,19,20,32,12,19,2
267,17,22,32,12,18,2
268,19,20,32,11,17,2
269,18,20,26,11,17,2
270,18,23,31,10,19,2
271,18,20,29,10,20,2
272,19,20,29,12,19,2
273,14,21,31,13,19,2
274,14,19,27,14,20,2
275,14,19,29,12,19,2
276,13,15,31,14,20,2
277,11,17,29,15,20,2
278,10,16,32,14,20,2
279,10,18,32,15,20,2
280,12,16,26,14,19,2
281,12,17,29,10,20,2
282,14,15,28,13,19,2
283,12,18,30,14,18,2
284,12,18,27,13,18,2
285,14,20,27,13,15,2
286,12,15,26,14,19,2
287,12,12,27,13,18,2
288,11,12,31,11,16,2
289,11,14,30,12,16,2
290,11,11,27,12,17,2
291,10,13,31,13,17,2
292,12,14,30,14,19,2
293,11,12,32,11,19,2
294,13,13,28,11,19,2
295,11,14,28,13,16,2
296,11,13,32,12,18,2
297,11,13,26,14,18,2
298,11,12,28,12,18,2
299,11,14,27,14,16,2
300,11,12,30,13,17,2
301,17,24,25,19,27,3
302,18,21,24,19,27,3
303,18,20,23,20,28,3
304,18,20,25,20,27,3
305,16,24,25,20,28,3
306,17,21,25,20,28,3
307,17,21,25,19,28,3
308,18,19,25,20,28,3
309,17,20,25,20,28,3
310,18,20,24,20,28,3
311,13,16,24,20,28,3
312,12,14,28,19,29,3
313,12,14,30,19,29,3
314,12,12,30,19,29,3
315,11,17,26,18,28,3
316,11,19,25,18,29,3
317,08,19,26,18,29,3
318,11,19,26,18,28,3
319,11,20,25,18,28,3
320,10,20,25,17,27,3
321,12,20,26,18,27,3
322,12,21,26,18,26,3
323,10,21,26,18,26,3
324,11,22,25,16,27,3
325,09,19,27,15,27,3
326,12,24,26,17,27,3
327,11,24,25,18,24,3
328,13,25,25,17,26,3
329,12,24,27,18,25,3
330,12,25,25,17,24,3
331,12,25,26,18,26,3
332,12,24,26,17,27,3
333,12,25,26,17,27,3
334,16,17,28,18,28,3
335,15,17,31,18,24,3
336,14,17,31,19,28,3
337,15,16,29,17,22,3
338,14,15,28,20,23,3
339,14,15,31,17,22,3
340,14,15,31,16,22,3
341,13,16,30,16,22,3
342,15,15,29,15,23,3
343,13,13,29,15,22,3
344,14,17,28,16,21,3
345,14,13,28,16,22,3
346,14,14,30,19,22,3
347,14,14,29,20,23,3
348,14,14,29,19,23,3
349,14,15,30,20,23,3
350,12,16,28,20,24,3
351,12,14,28,19,23,3
352,13,14,25,19,23,3
353,13,14,27,19,23,3
354,15,21,27,18,29,3
355,08,19,29,22,29,3
356,07,19,25,24,29,3
357,11,15,27,22,26,3
358,12,14,31,21,26,3
359,13,15,29,21,26,3
360,15,14,28,18,25,3
361,14,15,29,22,25,3
362,12,19,30,19,26,3
363,11,20,30,19,26,3
364,12,23,31,17,27,3
365,07,21,28,22,29,3
366,12,23,31,17,24,3
367,13,22,31,17,27,3
368,12,22,31,17,28,3
369,11,20,30,18,27,3
370,12,16,30,18,27,3
371,10,20,29,18,27,3
372,07,20,28,18,27,3
373,09,21,28,17,28,3
374,15,18,26,19,28,3
375,14,19,26,18,28,3
376,09,20,25,23,29,3
377,13,20,25,19,29,3
378,15,21,26,19,29,3
379,15,20,26,19,29,3
380,15,20,25,19,28,3
381,15,21,27,18,29,3
382,13,22,28,17,29,3
383,16,21,27,17,27,3
384,05,18,30,23,29,3
385,06,19,28,23,28,3
386,07,19,31,23,29,3
387,07,19,31,24,28,3
388,07,19,29,23,28,3
389,07,19,31,23,28,3
390,06,26,24,21,28,3
391,07,24,24,21,29,3
392,07,22,25,21,24,3
393,09,23,26,21,28,3
394,07,24,24,20,27,3
395,09,20,24,21,27,3
396,10,19,25,21,28,3
397,07,19,31,23,28,3
398,06,26,24,21,28,3
399,07,24,24,21,24,3
